commonName,latinName,family,order
Black-bellied Whistling-Duck,Dendrocygna autumnalis ,Anatidae,Anseriformes
Fulvous Whistling-Duck,Dendrocygna bicolor ,Anatidae,Anseriformes
Emperor Goose,Anser canagicus ,Anatidae,Anseriformes
Snow Goose,Anser caerulescens,Anatidae,Anseriformes
Ross's Goose,Anser rossii,Anatidae,Anseriformes
Greater White-fronted Goose,Anser albifrons,Anatidae,Anseriformes
Tundra Bean-Goose,Anser serrirostris ,Anatidae,Anseriformes
Brant,Branta bernicla,Anatidae,Anseriformes
Cackling Goose,Branta hutchinsii,Anatidae,Anseriformes
Canada Goose,Branta canadensis,Anatidae,Anseriformes
Trumpeter Swan,Cygnus buccinator - P,Anatidae,Anseriformes
Tundra Swan,Cygnus columbianus,Anatidae,Anseriformes
Whooper Swan,Cygnus cygnus ,Anatidae,Anseriformes
Wood Duck,Aix sponsa,Anatidae,Anseriformes
Baikal Teal,Sibirionetta formosa ,Anatidae,Anseriformes
Garganey,Spatula querquedula ,Anatidae,Anseriformes
Blue-winged Teal,Spatula discors,Anatidae,Anseriformes
Cinnamon Teal,Spatula cyanoptera,Anatidae,Anseriformes
Northern Shoveler,Spatula clypeata,Anatidae,Anseriformes
Gadwall,Mareca strepera,Anatidae,Anseriformes
Falcated Duck,Mareca falcata ,Anatidae,Anseriformes
Eurasian Wigeon,Mareca penelope,Anatidae,Anseriformes
American Wigeon,Mareca americana,Anatidae,Anseriformes
Mallard,Anas platyrhynchos,Anatidae,Anseriformes
American Black Duck,Anas rubripes ,Anatidae,Anseriformes
Northern Pintail,Anas acuta,Anatidae,Anseriformes
Green-winged Teal,Anas crecca,Anatidae,Anseriformes
Canvasback,Aythya valisineria,Anatidae,Anseriformes
Redhead,Aythya americana,Anatidae,Anseriformes
Common Pochard,Aythya ferina ,Anatidae,Anseriformes
Ring-necked Duck,Aythya collaris,Anatidae,Anseriformes
Tufted Duck,Aythya fuligula,Anatidae,Anseriformes
Greater Scaup,Aythya marila,Anatidae,Anseriformes
Lesser Scaup,Aythya affinis,Anatidae,Anseriformes
Steller's Eider,Polysticta stelleri ,Anatidae,Anseriformes
King Eider,Somateria spectabilis ,Anatidae,Anseriformes
Common Eider,Somateria mollissima ,Anatidae,Anseriformes
Harlequin Duck,Histrionicus histrionicus,Anatidae,Anseriformes
Surf Scoter,Melanitta perspicillata,Anatidae,Anseriformes
White-winged Scoter,Melanitta deglandi,Anatidae,Anseriformes
Common Scoter,Melanitta nigra ,Anatidae,Anseriformes
Black Scoter,Melanitta americana,Anatidae,Anseriformes
Long-tailed Duck,Clangula hyemalis,Anatidae,Anseriformes
Bufflehead,Bucephala albeola,Anatidae,Anseriformes
Common Goldeneye,Bucephala clangula,Anatidae,Anseriformes
Barrow's Goldeneye,Bucephala islandica,Anatidae,Anseriformes
Smew,Mergellus albellus V,Anatidae,Anseriformes
Hooded Merganser,Lophodytes cucullatus,Anatidae,Anseriformes
Common Merganser,Mergus merganser,Anatidae,Anseriformes
Red-breasted Merganser,Mergus serrator,Anatidae,Anseriformes
Ruddy Duck,Oxyura jamaicensis,Anatidae,Anseriformes
Mountain Quail,Oreortyx pictus,Gallinaceous,Odontophoridae
California Quail,Callipepla californica,Gallinaceous,Odontophoridae
Gambel's Quail,Callipepla gambelii,Gallinaceous,Odontophoridae
Wild Turkey,Meleagris gallopavo ,Gallinaceous,Odontophoridae
Ruffed Grouse,Bonasa umbellus,Gallinaceous,Odontophoridae
White-tailed Ptarmigan,Lagopus leucura P,Gallinaceous,Odontophoridae
Greater Sage-Grouse,Centrocercus urophasianus,Gallinaceous,Odontophoridae
Sooty Grouse,Dendragapus fuliginosus,Gallinaceous,Odontophoridae
Sharp-tailed Grouse,Tympanuchus phasianellus - E,Gallinaceous,Odontophoridae
Ring-necked Pheasant,Phasianus colchicus ,Gallinaceous,Odontophoridae
Chukar,Alectoris chukar ,Gallinaceous,Odontophoridae
Least Grebe,Tachybaptus dominicus ,Podicipedidae,Podicipediformes
Pied-billed Grebe,Podilymbus podiceps,Podicipedidae,Podicipediformes
Horned Grebe,Podiceps auritus,Podicipedidae,Podicipediformes
Red-necked Grebe,Podiceps grisegena,Podicipedidae,Podicipediformes
Eared Grebe,Podiceps nigricollis,Podicipedidae,Podicipediformes
Western Grebe,Aechmophorus occidentalis,Podicipedidae,Podicipediformes
Clark's Grebe,Aechmophorus clarkii,Podicipedidae,Podicipediformes
Rock Pigeon,Columba livia ,columbidae,columbiformes
Band-tailed Pigeon,Patagioenas fasciata,columbidae,columbiformes
Oriental Turtle-Dove,Streptopelia orientalis V,columbidae,columbiformes
Eurasian Collared-Dove,Streptopelia decaocto ,columbidae,columbiformes
Spotted Dove,Streptopelia chinensis ,columbidae,columbiformes
Inca Dove,Columbina inca,columbidae,columbiformes
Common Ground Dove,Columbina passerina,columbidae,columbiformes
Ruddy Ground Dove,Columbina talpacoti ,columbidae,columbiformes
White-winged Dove,Zenaida asiatica,columbidae,columbiformes
Mourning Dove,Zenaida macroura,columbidae,columbiformes
Groove-billed Ani,Crotophaga sulcirostris ,cuculidae,cuculiformes
Greater Roadrunner,Geococcyx californianus,cuculidae,cuculiformes
Common Cuckoo,Cuculus canorus V,cuculidae,cuculiformes
Yellow-billed Cuckoo,Coccyzus americanus,cuculidae,cuculiformes
Black-billed Cuckoo,Coccyzus erythropthalmus ,cuculidae,cuculiformes
Lesser Nighthawk,Chordeiles acutipennis,caprimulgidae,caprimulgiformes
Common Nighthawk,Chordeiles minor,caprimulgidae,caprimulgiformes
Common Poorwill,Phalaenoptilus nuttallii,caprimulgidae,caprimulgiformes
Chuck-will's-widow,Antrostomus carolinensis ,caprimulgidae,caprimulgiformes
Buff-collared Nightjar,Antrostomus ridgwayi ,caprimulgidae,caprimulgiformes
Eastern Whip-poor-will,Antrostomus vociferus A,caprimulgidae,caprimulgiformes
Mexican Whip-poor-will,Antrostomus arizonae,caprimulgidae,caprimulgiformes
Black Swift,Cypseloides niger,apodidae,apodiformes
White-collared Swift,Streptoprocne zonaris S,apodidae,apodiformes
